,2
1171,ZYX
1172,ZYX-1
1173,HCAR3
1174,TOMM22
1175,SLAMF7
1176,PPP1CA
1177,MORC4
1178,ZC3H15
1179,RAB13
1180,SASH3
1181,CS
1182,METAP2
1183,ZFP36L2
1184,SECTM1
1185,BAG6-6
1186,KCNK6
1187,TXNL1
1188,UTP6
1189,PPP1R11
1190,ATG3
1191,NAA15
1192,TOMM6
1193,SMC4
1194,SLIRP
1195,TMEM154
1196,IL13RA1
1197,YWHAG
1198,CRYZ
1199,EPSTI1
1200,POMP
1201,CD3E
1202,VCAM1
1203,ZC3HAV1
1204,CD14
1205,NFKB2
1206,COL4A1
1207,SELPLG
1208,MAPT-1
1209,TRMT112
1210,ABHD17C
1211,MBD2
1212,DENR
1213,FOXM1
1214,SEC13
1215,DNMT1
1216,IGSF9B
1217,CXCR4
1218,PRR4-2
1219,COPS2
1220,MDH1
1221,RGS1
1222,CTNNA1
1223,JAK3
1224,FAM118A
1225,RNF19B
1226,DAPP1
1227,COPS3
1228,ME2
1229,SNED1
1230,DHX9
1231,HNRNPUL2
1232,NCBP1
1233,TPR
1234,CPZ
1235,SRM
1236,DYNC1I2
1237,EIF1AX
1238,RBM14
1239,PSMD13
1240,HLA-DRA-2
1241,HLA-DMB-4
1242,GDA
1243,PSMD4
1244,MPHOSPH10
1245,USP15
1246,RAP1B
1247,VARS2-3
1248,RPS16
1249,VASP
1250,RPF2
1251,PLEKHO1
1252,DHX32
1253,SAMD9L
1254,TOMM7
1255,SSBP1
1256,CYP2E1
1257,AKR1C2
1258,FUCA2
1259,HNRNPR
1260,ENSG00000256462
1261,NCAPG
1262,NUP205
1263,SRSF6
1264,TMPRSS13
1265,HLA-DQB1-6
1266,UBE2F
1267,SHISA5
1268,TRAPPC1
1269,WFDC5
1270,IRF9-1
1271,ABCE1
1272,HLA-DMB-3
1273,ATP5ME
1274,RAB8A
1275,CYB5R2
1276,IFI44L
1277,PPP1R3C
1278,COL6A6
1279,SNHG1
1280,BTN3A2
1281,IDO1
1282,RAB5A
1283,ENSG00000267576
1284,ERP44
1285,HLA-B
1286,SPN
1287,TOMM5
1288,MOXD1
1289,FAM98A
1290,FCGR3B
1291,FGR
1292,CBR3
1293,PRR4-1
1294,DNAJA2
1295,SRPRB
1296,C2
1297,DDX46
1298,TACC3
1299,KLK9
1300,RSU1
1301,TMEM86A
1302,EMC1
1303,SELL
1304,KIF20A
1305,RCN1
1306,UBL5
1307,PRDX6
1308,LAMP3
1309,MTHFD2
1310,FAM43A
1311,NAIP-1
1312,PRR4
1313,THY1-AS1
1314,SBNO2
1315,NDUFA12
1316,PTX3
1317,TIAM1
1318,SH2B3
1319,ATP2A2
1320,ELF3
1321,CDC20
1322,CD274
1323,PFKP
1324,GLA
1325,PIK3R5
1326,BCAN
1327,ZBTB7C
1328,APOBEC3C
1329,MRTO4
1330,FHDC1
1331,GRSF1
1332,CTR9
1333,HAX1
1334,TMC5
1335,SRP68
1336,NECAP2
1337,DIO2
1338,STOML2
1339,SLC9A3R1
1340,APLP2
1341,ERH
1342,APOL4
1343,GLUL
1344,ATP5MG
1345,JUN
1346,PHF14
1347,MCMBP
1348,MTREX
1349,CYP4B1
1350,ZBED10P
1351,PTPN6
1352,RPL7L1
1353,C1QC
1354,PRSS27
1355,CLDN4
1356,SERPINA3
1357,DTX3L
1358,ARRB1
1359,REL
1360,LOX
1361,COX7A2
1362,SEC61G
1363,ADAM19
1364,MRPL15
1365,KRT16P6
1366,SERP1
1367,HLA-C-6
1368,TK1
1369,CBX3
1370,MCM5
1371,RPL36AL
1372,TINF2
1373,ATF5
1374,RAB3D
1375,CFB-6
1376,ITSN2
1377,GLIPR1
1378,TIMM8B
1379,PTP4A1
1380,FAM111B
1381,SMN2-2
1382,CAPN15
1383,PPFIBP2
1384,PRRC2C
1385,ATP5MC1
1386,ERRFI1
1387,ITGAM
1388,SRP54
1389,BRD2-3
1390,SEC63
1391,NOL10
1392,SNX5
1393,CASP7
1394,PPT2-3
1395,LST1-6
1396,DCAF13
1397,COX20
1398,ATOX1
1399,IRF4
1400,CCDC47
1401,NUCB2
1402,DNAJC2
1403,UFD1
1404,HLA-DMB-6
1405,HLA-DOA-2
1406,AEN
1407,HSPA6
1408,ENSG00000269888
1409,CCL27
1410,HSPA1A-4
1411,FKBP3
1412,BRD2-2
1413,ASPG
1414,ARL4C
1415,ANO8
1416,RWDD1
1417,RALGPS2
1418,HERPUD1
1419,CPSF3
1420,PDCD6IP
1421,IDE
1422,BRD2-5
1423,JUND
1424,USO1
1425,UQCRQ
1426,CNDP2
1427,ZNF207
1428,PARP12
1429,PDCD2
1430,CD1E
1431,EMP2
1432,LCN2
1433,COL6A5
1434,PHB1
1435,UBE2C
1436,SPINK7
1437,CCNB2
1438,TNFAIP6
1439,C1orf162
1440,SLC20A1
1441,ARAP2
1442,MYBL2
1443,CLEC7A
1444,UBE2V1
1445,LRPPRC
1446,MRPL24
1447,ENSG00000230638
1448,VEZT
1449,SMC3
1450,CD2
1451,SLC39A14
1452,CTPS1
1453,SP110
1454,U2AF1
1455,ZPR1
1456,NAE1
1457,RBIS
1458,HLA-DPA1
1459,HLA-DPA1-6
1460,ATP5MK
1461,FLVCR2
1462,HELZ2
1463,CD52
1464,RBMX
1465,H3P6
1466,CUL1
1467,ATP10B
1468,C11orf98
1469,CWC15
1470,TPRG1
1471,NUP88
1472,PANX1
1473,ATP11B
1474,VPS29
1475,MFHAS1
1476,NAT10
1477,PPIL1
1478,CYP2C18
1479,CDC25B
1480,MMP9
1481,AGPAT1-6
1482,AGPAT1-4
